ID;EN;NL;DE;FR
<{mollie}prestashop>mollieorderinfoservice_1bda80f2be4d3658e0baa43fbe7ae8c1;view;bekijken;anzuzeigen;voir
<{mollie}prestashop>mollieorderinfoservice_de95b43bceeb4b998aed4aed5cef1ae7;edit;bewerken;zu bearbeiten;modifier
<{mollie}prestashop>mollieorderinfoservice_2a3f1166b041928019e4e8718d628665;ship;verzenden;zu versenden;envoyer
<{mollie}prestashop>mollieorderinfoservice_df6f85687a0d5820baa1a069a04eff2d;refund;terugbetalen;zurückzuerstatten;rembourser
<{mollie}prestashop>mollieorderinfoservice_10aec35353f9c4096a71c38654c3d402;cancel;annuleren;abzubrechen;annuler
<{mollie}prestashop>cartlinesservice_ea9cf7e47ff33b2be14e6dd07cbcefc6;Shipping;Verzending;Versand;Envoi
<{mollie}prestashop>cartlinesservice_484f5a79672cebe198ebdde45a1d672f;Gift wrapping;Cadeaupapier;Geschenkpapier;Emballage cadeau
<{mollie}prestashop>cartlinesservice_386dcc0479b05fd2b1d40dbb8f649287;Payment Fee;Commissie;Zahlungsgebühr;Frais de paiement
<{mollie}prestashop>languageservice_e0010a0a1a3259ab5c06a19bad532851;Paid;Betaald;Bezahlt;Payé
<{mollie}prestashop>languageservice_07ca5050e697392c9ed47e6453f1453f;Completed;Voltooid;Abgeschlossen;Effectué
<{mollie}prestashop>languageservice_a206428462686af481cb072b8db11784;Authorized;Geautoriseerd;Genehmigt;Autorisé
<{mollie}prestashop>languageservice_0e22fe7d45f8e5632a4abf369b24e29c;Canceled;Geannuleerd;Abgebrochen;Annulé
<{mollie}prestashop>languageservice_24fe48030f7d3097d5882535b04c3fa8;Expired;Verlopen;Abgelaufen;Expiré
<{mollie}prestashop>languageservice_cc61945cbbf46721a053467c395c666f;Refunded;Terugbetaald;Zurückerstattet;Remboursé
<{mollie}prestashop>languageservice_7026e386bdad92fa6f232394f5b23ffb;Bankwire pending;Bankoverschrijving in behandeling;Überweisung ausstehend;Virement bancaire en attente
<{mollie}prestashop>languageservice_9f004157e4c148dac71da3ae5906351f;Partially refunded;Gedeeltelijk terugbetaald;Teilweise erstattet;Partiellement remboursé
<{mollie}prestashop>languageservice_0eceeb45861f9585dd7a97a3e36f85c6;Created;Aangemaakt;Erstellt;Créé
<{mollie}prestashop>languageservice_e2b7dec8fa4b498156dfee6e4c84b156;This payment method is not available.;Deze betaalmethode is niet beschikbaar.;Diese Zahlungsart ist nicht verfügbar.;Ce moyen de paiement n'est pas disponible.
<{mollie}prestashop>languageservice_96d0e2862e0167af0c2fd0c99fe6bc5d;Click here to continue;Klik om verder te gaan;Hier klicken, um fortzufahren;Cliquez ici pour continuer
<{mollie}prestashop>languageservice_540d9939d1ca9406e215ee3d78c76813;This payment method is only available for Euros.;Deze betaalmethode is alleen beschikbaar voor euro;Diese Zahlungsart ist ausschließlich in Euro verfügbar.;Ce moyen de paiement est disponible seulement en Euros.
<{mollie}prestashop>languageservice_1b2631119333d97dbda37f87e378b1e4;There was an error while processing your request: ;Er is een fout opgetreden bij het verwerken van je verzoek:;Beim Bearbeiten Ihrer Anfrage ist ein Fehler aufgetreten:;Il y a eu une erreur lors du traitement de votre demande : 
<{mollie}prestashop>languageservice_11bab828edcc0a6d5c97cbf84d61e652;The order with this id does not exist.;De bestelling met dit ID bestaat niet.;Eine Bestellung mit dieser ID existiert nicht.;La commande associée à ce numéro n'existe pas.
<{mollie}prestashop>languageservice_b34487c5f391f47b893ee3c61f8f9ab7;We have not received a definite payment status. You will be notified as soon as we receive a confirmation of the bank/merchant.;We hebben geen definitieve betaalstatus ontvangen. Zodra wij een bevestiging van de bank/handelaar hebben ontvangen, krijg je hiervan bericht.;Wir haben keinen definitiven Zahlungsstatus erhalten. Sie werden benachrichtigt, sobald die Bestätigung der Bank/des Händlers bei uns eingeht.;Nous n'avons pas reçu de statut de paiement définitif. Vous serez informé dès que nous aurons la confirmation de la banque ou du commerçant.
<{mollie}prestashop>languageservice_57bc999b3b730ead92ac7243fe254a2a;Unfortunately your payment was expired.;Je betaling is helaas verlopen;Ihre Zahlung ist leider abgelaufen.;Malheureusement, votre paiement a expiré.
<{mollie}prestashop>languageservice_3602f6d5ece34fdbd4ffe0a47f1a2ba4;Thank you. Your payment has been received.;Dank je wel. Je betaling is ontvangen.;Vielen Dank. Wir haben Ihre Zahlung erhalten.;Merci. Votre paiement a été reçu.
<{mollie}prestashop>languageservice_7352a401b3c23b2966c68bc9ab97fa06;The transaction has an unexpected status.;De transactie heeft een onverwachte status.;Die Transaktion hat einen unerwarteten Status.;La transaction a un statut inattendu.
<{mollie}prestashop>languageservice_3f83176ddc3f63a5a374a623840bfb09;You are not authorised to see this page.;Je bent niet bevoegd om deze pagina te bekijken.;Sie haben keinen Zugriff auf diese Seite.;Vous n'êtes pas autorisé à visualiser cette page.
<{mollie}prestashop>languageservice_300225ee958b6350abc51805dab83c24;Continue shopping;Verder winkelen;Einkauf fortsetzen;Continuer les achats
<{mollie}prestashop>languageservice_ebdf0f490b617d7efa3025d3625cec85;Welcome back;Welkom terug;Willkommen zurück;Bon retour parmi nous
<{mollie}prestashop>languageservice_66dac2278292ff24611ef8a85bc94e0d;Select your bank:;Selecteer je bank:;Wählen Sie Ihre Bank:;Sélectionnez votre banque :
<{mollie}prestashop>languageservice_e0aa021e21dddbd6d8cecec71e9cf564;OK;Ok;OK;OK
<{mollie}prestashop>languageservice_b98a07c82f0078a1de7fc219fae480fc;Different payment method;Andere betaalmethode;Andere Zahlungsart;Autre moyen de paiement
<{mollie}prestashop>languageservice_35895cff7df70dab18783453e2bd241f;Pay with %s;Betaal met %s;Zahlen mit %s;Payer avec %s
<{mollie}prestashop>languageservice_cc16e103e202a48009df202d9525f75f;Refund this order;Deze bestelling terugbetalen;Bestellung erstatten;Rembourser cette commande
<{mollie}prestashop>languageservice_c5222afef6530f674d3acf82ba2ce9dc;Mollie refund;Mollie terugbetaling;Mollie-Rückzahlung;Remboursement Mollie
<{mollie}prestashop>languageservice_7064b25aa8a732a3db7f230c9867be19;Refund order #%d through the Mollie API.;Bestelling #%d terugbetalen via de Mollie API.;Rückzahlung von Bestellung #%d über die Mollie-API.;Rembourser la commande #%d via l'API Mollie.
<{mollie}prestashop>languageservice_e12682d2e0650f2783b22d956d2b947a;The order has been refunded!;De bestelling is terugbetaald;Die Bestellung wurde erstattet.;La commande a été remboursée !
<{mollie}prestashop>languageservice_95be87afb2734075cf345b633e1384ec;Mollie B.V. will transfer the money back to the customer on the next business day.;Mollie B.V. stort het geld de eerstvolgende werkdag terug naar de klant.;Mollie B.V. überweist dem Kunden den Erstattungsbetrag am folgenden Werktag zurück.;Mollie B.V. transférera l'argent au client le prochain jour ouvrable.
<{mollie}prestashop>languageservice_9770d1f0124abb0d6a894cd79f8703b5;Awaiting Mollie payment;In afwachting van betaling door Mollie;Warten auf Mollie-Zahlung;En attente du paiement Mollie
<{mollie}prestashop>languageservice_b9fc80a6e775cb75568db6b6538dacdd;Mollie partially refunded;Gedeeltelijk terugbetaald door Mollie;Teilweise von Mollie zurückerstattet;Mollie partiellement remboursé
<{mollie}prestashop>languageservice_f91ab041fe9d6057740394b8b7903a0f;iDEAL;iDEAL;iDEAL;iDEAL
<{mollie}prestashop>languageservice_05bfde942b997737b56b9ab405450076;Cartes Bancaires;Cartes Bancaires;Cartes Bancaires;Cartes bancaires
<{mollie}prestashop>languageservice_e7f9e382dc50889098cbe56f2554c77b;Credit card;Creditcard;Kreditkarte;Carte de crédit
<{mollie}prestashop>languageservice_870cf6bc77bbadd038aeb8d942c9cb18;Bancontact;Bancontact;Bancontact;Bancontact
<{mollie}prestashop>languageservice_8ad65eb3da9995173280649f090218c3;SOFORT Banking;SOFORT Bankieren;SOFORT Banking;Banque SOFORT
<{mollie}prestashop>languageservice_c0db4214f9d7e1b846f4496e03e667d0;SEPA Direct Debit;SEPA Automatische incasso;SEPA Direct Debit;Prélèvement automatique SEPA
<{mollie}prestashop>languageservice_5aa515ce21e8de1ed7416dce455a151f;Belfius Pay Button;Belfius Betaalknop;Belfius Pay Button;Bouton de paiement Belfius
<{mollie}prestashop>languageservice_d023ec040f79f1a9b2ac960b43785089;Bitcoin;Bitcoin;Bitcoin;Bitcoin
<{mollie}prestashop>languageservice_4aa65ea89e54d83bb2604c2cc89babc3;PODIUM Cadeaukaart;Podium Cadeaukaart;PODIUM Cadeaukaart;Carte cadeau PODIUM
<{mollie}prestashop>languageservice_58c25c4b8b4382e37d89e0ef6bd625cf;Gift cards;Cadeaubonnen;Geschenkkarten;Cartes cadeaux
<{mollie}prestashop>languageservice_431647a0a8b2cd589c9fda9535f90d6d;Bank transfer;Overboeking;Banküberweisung;Virement bancaire
<{mollie}prestashop>languageservice_ad69e733ebae8d264bccaa38d68830e8;PayPal;PayPal;PayPal;PayPal
<{mollie}prestashop>languageservice_6abcd8eecb4f2abb6ccfe36ef7046ba0;paysafecard;paysafecard;paysafecard;paysafecard
<{mollie}prestashop>languageservice_a81bd6195f1abce35fd03a870270100b;KBC/CBC Payment Button;KBC/CBC Betaalknop;KBC/CBC Payment Button;Bouton de paiement KBC/CBC
<{mollie}prestashop>languageservice_8184c64d6318b4a42428ae21d0fe2311;ING Home'Pay;ING-home'Pay;ING Home'Pay;ING Home'Pay
<{mollie}prestashop>languageservice_31911306551723245e7417ae4520fecb;Giropay;Giropay;Giropay;Giropay
<{mollie}prestashop>languageservice_ce8e4a184e2e534c09d6bf6ae773ca4a;eps;eps;eps;eps
<{mollie}prestashop>languageservice_feb1a8ded87483b416427b8457bdc664;Pay later.;Pay later.;Pay later.;Payer ultérieurement.
<{mollie}prestashop>languageservice_a388a6fba0d4b58c334cd9416071cdb1;Slice it.;Slice it.;Slice it.;Diviser.
<{mollie}prestashop>languageservice_b3c616832a460725551d52f3d222df2c;MyBank;MyBank;MyBank;MyBank
<{mollie}prestashop>refundservice_7d4272540fdafa5fad96a0a6ec5166df;The order could not be refunded.;De bestelling kon niet worden terugbetaald;Die Bestellung konnte nicht erstattet werden.;La commande n'a pas pu être remboursée !
<{mollie}prestashop>refundservice_ccb168b5a6a86eb100dc2dee754a316b;Reason:;Reden:;Grund:;Raison :
<{mollie}prestashop>refundservice_e12682d2e0650f2783b22d956d2b947a;The order has been refunded.;De bestelling is terugbetaald.;Die Bestellung wurde erstattet.;La commande a été remboursée.
<{mollie}prestashop>refundservice_95be87afb2734075cf345b633e1384ec;Mollie B.V. will transfer the money back to the customer on the next business day.;Mollie B.V. stort het geld de eerstvolgende werkdag terug naar de klant.;Mollie B.V. überweist dem Kunden den Erstattungsbetrag am folgenden Werktag zurück.;Mollie B.V. transférera l'argent au client le prochain jour ouvrable.
<{mollie}prestashop>refundservice_65718b7293759bcf2ca7257aba3d3179;The product(s) could not be refunded.;Producten konden niet worden terugbetaald;Die Ware konnte nicht erstattet werden.;Les produits n'ont pas pu être remboursés.
<{mollie}prestashop>transactionservice_3f864e377ad88afe0f99e0d1e16cec03;Transaction failed;Transactie mislukt;Transaktion fehlgeschlagen;Échec de la transaction
<{mollie}prestashop>shipservice_0f251428a8b2c8c90b0f8d8bbd6556cd;The product(s) could not be shipped.;De producten konden niet worden verzonden;Die Ware konnte nicht versandt werden.;Les produits n'ont pas pu être envoyés.
<{mollie}prestashop>molliepaymentmailservice_4c35c2333b8091a076a4c2d1db8709e1;Failed to created Second Chance Email.;Het maken van een Second Chance Email is mislukt;Erstellen Second Chance Email fehlgeschlagen.;Échec de la création de l'e-mail de deuxième chance.
<{mollie}prestashop>molliepaymentmailservice_f8347b8a83efc618a7d74089a58a351d;Failed to send second chance email. Order is already paid.;Second Chance Email is niet verzonden. Bestelling is al betaald;Senden Second Chance Email fehlgeschlagen. Bestellung wurde bereits bezahlt.;Échec de l'envoi de l'e-mail de deuxième chance. La commande est déjà payée.
<{mollie}prestashop>molliepaymentmailservice_21ca2c7b403a7963dc174b3892a10bc7;Second chance email was successfully send.;Second Chance Email is succesvol verzonden;Second Chance Email erfolgreich gesendet.;L'e-mail de deuxième chance a été envoyé avec succès.
<{mollie}prestashop>molliepaymentmailservice_7d4e9f222469e74d17fde11ca66e587e;Failed to send second chance email. Order is already paid or expired.;Second Chance Email is niet verzonden Bestelling is al betaald of verlopen;Senden Second Chance Email fehlgeschlagen. Bestellung wurde bereits bezahlt oder ist abgelaufen.;Échec de l'envoi de l'e-mail de deuxième chance. La commande est déjà payée ou expirée.
<{mollie}prestashop>molliepaymentmailservice_acb35a78ac0e60f29a997b6dc3c68863;Failed to send second chance email.;Second Chance Email is niet verzonden;Senden Second Chance Email fehlgeschlagen.;Échec de l'envoi de l'e-mail de deuxième chance.
<{mollie}prestashop>cancelservice_324b178753a80ddbe85bc5c2bc64636c;The product(s) could not be canceled.;Producten konden niet worden geannuleerd;Ware konnte nicht storniert werden.;Les produits n'ont pas pu être annulés.
<{mollie}prestashop>settingssaveservice_1f93fc361bfc627c89a46e1b6c28df2b;The API key needs to start with test or live.;De API key moet beginnen met test of live.;Der API-Schlüssel muss mit Test oder Live beginnen.;La clé API doit commencer par un test ou un live.
<{mollie}prestashop>settingssaveservice_d0fb18e6788aea02c962decbe15918ab;Something went wrong. Couldn't save your payment methods;Er is iets fout gegaan. Betaalmethodes konden niet worden opgeslagen;Ein Problem ist aufgetreten. Ihre Zahlungsart konnte nicht gespeichert werden.;Un problème est survenu. Impossible de sauvegarder vos moyens de paiement
<{mollie}prestashop>settingssaveservice_652f9bf18cac2aed81f0c2a436b1a4f7;Something went wrong. Couldn't delete old payment methods;Er is iets fout gegaan. Kon oude betaalmethode-issuers niet verwijderen;Ein Problem ist aufgetreten. Alte Aussteller von Zahlungsmethoden konnten nicht gelöscht werden.;Un problème est survenu. Impossible de supprimer les émetteurs de moyens de paiement précédents
<{mollie}prestashop>settingssaveservice_b4023fa46ec83bf49c0ce4a4fb379c2d;Something went wrong. Couldn't save your payment methods;Er is iets fout gegaan. Kon de issuer van je betaalmethode niet opslaan;Ein Problem ist aufgetreten. Der Aussteller Ihrer Zahlungsmethoden konnte nicht gespeichert werden;Un problème est survenu. Impossible de sauvegarder vos émetteurs de moyens de paiement
<{mollie}prestashop>settingssaveservice_3edebc882ca3c4ed5346f3daa6c60f45;Wrong API Key;Verkeerde API Key;Falscher API-Schlüssel!;Mauvaise clé API 
<{mollie}prestashop>settingssaveservice_6ab1adfed768d989b47c908755fe677f;The configuration has been saved.;De configuratie is opgeslagen;Einstellungen gespeichert!;La configuration a été sauvegardée
<{mollie}prestashop>installer_8aef54a7e234af543698d0eb818e576a;Unable to install Mollie statuses;Mollie-statussen kunnen niet worden geïnstalleerd;Die Modul-Status können nicht installiert werden;Impossible d'installer les statuts Mollie
<{mollie}prestashop>installer_2a1cc1f6a56903156703cf4f997a640f;Unable to install config;Configuratie kan niet worden geïnstalleerd;Konfiguration kann nicht installiert werden;Impossible d'installer config
<{mollie}prestashop>installer_a473868cd56c59f4cee5d511a29ef3f8;Unable to install default carrier statuses;Kan standaard bezorgdienst-statussen niet installeren;Die Status der Standard-Logistikdienstleister können nicht installiert werden;Impossible d'installer les statuts des transporteurs par défaut
<{mollie}prestashop>installer_407748408f99fed49e067dee67df619c;Could not copy email templates:;Kon e-mail templates niet kopiëren:;Kopieren der E-Mail-Vorlagen fehlgeschlagen:;Impossible de copier les modèles d'e-mail
<{mollie}prestashop>formbuilder_c9cc8cce247e49bae79f15173ce97354;Save;Opslaan;Speichern;Sauvegarder
<{mollie}prestashop>formbuilder_0ba29c6a1afacf586b03a26162c72274;Environment;Omgeving;Umgebung;Environnement
<{mollie}prestashop>formbuilder_0cbc6611f5540bd0809a388dc95a615b;Test;Test;Test;Test
<{mollie}prestashop>formbuilder_955ad3298db330b5ee880c2c9e6f23a0;Live;Live;Live;Live
<{mollie}prestashop>formbuilder_4960b33741696799508da451687efccd;API Key Test;API Key Test;Test-API-Schlüssel;Test de clé API
<{mollie}prestashop>formbuilder_2ffbc7eb8899865f9e66682d34853195;You can find your API key in your [1]Mollie Profile[/1]; it starts with test or live.;Je vindt je API Key in je [1]Mollie-profiel[/1]; het begint met test of live.;Sie finden den API-Schlüssel in Ihrem [1]Mollie-Profil[/1]; er beginnt mit Test oder Live.;Vous pouvez trouver votre clé API dans votre [1]Profil Mollie[/1] ; la clé commence par test ou live.
<{mollie}prestashop>formbuilder_646135a12f4ae070d40da46430daaded;API Key Live;API Key Live;Live-API-Schlüssel;Clé API live
<{mollie}prestashop>formbuilder_05cb3e937d28b89f8aabfb4c62867117;Test ApiKey;Test ApiKey;API-Schlüssel testen;Test d'ApiKey
<{mollie}prestashop>formbuilder_48b55607a3eeefcff54c4ab448f97b19;Do you already have a Mollie account?;Heb je al een Mollie-account?;Haben Sie schon ein Mollie-Benutzerkonto?;Avez-vous déjà un compte Mollie ?
<{mollie}prestashop>formbuilder_00d23a76e43b46dae9ec7aa9dcbebb32;Enabled;Geactiveerd;Aktiviert;Activé
<{mollie}prestashop>formbuilder_b9f5c797ebbf55adccdd8539a65a0241;Disabled;Gedeactiveerd;Deaktiviert;Désactivé
<{mollie}prestashop>formbuilder_af916bf4d520d4c5e02ee117555a0fb6;Use Mollie Components for CreditCards;Gebruik Mollie Components voor Creditcards;Mollie Components für Kreditkarten verwenden;Utiliser les composants Mollie pour cartes de crédit
<{mollie}prestashop>formbuilder_08c3ed0dce144ff885d072bf9fb70634;Read more about [1]Mollie Components[/1] and how it improves your conversion;Lees meer over [1]Mollie Components[/1] en hoe het je conversie verbetert;Erfahren Sie mehr über [1]Mollie Components[/1] und wie sie die Conversion verbessern;En savoir plus sur les [1]Composants Mollie[/1] et comment cela booste vos conversions
<{mollie}prestashop>formbuilder_909af42213273854f58bea8d7808eb6b;Read more about Mollie Components and how it improves your conversion;Lees meer over Mollie Components en hoe het je conversie verbetert;Erfahren Sie mehr über Mollie Components und wie sie die Conversion verbessern;En savoir plus sur les Composants Mollie et comment cela booste vos conversions
<{mollie}prestashop>formbuilder_cff77137e334d784a7c641ad4c0c10e2;Profile ID;Profiel-ID;Profil-ID;Identifiant
<{mollie}prestashop>formbuilder_9170bcfedaabf0c63ac0c83ce5858dc6;You can find your API key in your [1]Mollie Profile[/1];Je vindt je API key in je [1]Mollie-profiel[/1];Den API-Schlüssel finden Sie in Ihrem [1]Mollie-Profil[/1];Vous pouvez trouver votre clé API dans votre [1]Profil Mollie[/1]
<{mollie}prestashop>formbuilder_4df7f0ac19f10f661982323a53d09204;Use Single Click Payments for CreditCards;Gebruik Single Click Payments voor Creditcards;Ein-Klick-Zahlungen für Kreditkarten verwenden;Utiliser les paiements en un clic pour les cartes de crédit
<{mollie}prestashop>formbuilder_1a314d0e07364877f10c5c2860282a04;Read more about [1]Single Click Payments[/1] and how it improves your conversion;Lees meer over [1]Single Click Payments[/1] en hoe het je conversie verbetert;Erfahren Sie mehr über [1]Ein-Klick-Zahlungen[/1] und wie diese die Conversion verbessern;En savoir plus sur les [1]Paiements en un clic[/1] et comment cela booste vos conversions
<{mollie}prestashop>formbuilder_85fb708f31f585607247f8b868efafcc;Issuer list;Issuer-lijst;Anbieterliste;Liste d'émetteurs
<{mollie}prestashop>formbuilder_27db39558366d2a9001a0dec69eea4d6;Some payment methods (eg. iDEAL) have an issuer list. This setting specifies where it is shown.;Sommige betaalmethodes (bijv. iDEAL) hebben een issuer-lijst. Deze instelling specificeert waar het wordt weergegeven.;Einige Zahlungsmethoden (wie iDEAL) haben eine Anbieterliste. Diese Einstellung gibt an, wo sie angezeigt wird.;Certains moyens de paiement (par ex. iDEAL) ont une liste d'émetteurs. Ce paramètre précise son emplacement.
<{mollie}prestashop>formbuilder_85a692706bc7597b6e32bc1d354c138f;On click;Bij klikken;Per Klick;Par clic
<{mollie}prestashop>formbuilder_d35acbb07d2841712a937d5748e9bdc2;Payment page;Betaalpagina;Zahlungsseite;Page de paiement
